Date,Global Govt Response (Sum)
16Jan2021,10185.75
17Jan2021,10193.289999999999
18Jan2021,10201.170000000002
19Jan2021,10198.99
20Jan2021,10188.809999999998
21Jan2021,10203.159999999998
22Jan2021,10205.71
23Jan2021,10195.15
24Jan2021,10193.15
25Jan2021,10172.04
26Jan2021,10178.849999999997
27Jan2021,10189.299999999997
28Jan2021,10188.529999999997
29Jan2021,10183.429999999997
30Jan2021,10188.649999999998
31Jan2021,10189.089999999997
01Feb2021,10122.8
02Feb2021,10097.769999999999
03Feb2021,10124.429999999998
04Feb2021,10112.869999999999
05Feb2021,10104.77
06Feb2021,10132.98
07Feb2021,10109.150000000001
08Feb2021,10086.070000000002
09Feb2021,10077.600000000002
10Feb2021,10082.480000000003
11Feb2021,10074.130000000001
12Feb2021,10099.89
13Feb2021,10106.900000000001
14Feb2021,10104.67
15Feb2021,10092.060000000003
16Feb2021,10088.210000000001
17Feb2021,10079.04
18Feb2021,10070.930000000002
19Feb2021,10072.260000000002
20Feb2021,10071.600000000002
21Feb2021,10073.160000000002
22Feb2021,10062.220000000003
